umbral_m,vp_ha,fp_ha,vn_ha,fn_ha,precision,recall,especificidad,fpr,tasa_fp_producto,f1,youden,exactitud,ic_precision_lo,ic_precision_hi,ic_recall_lo,ic_recall_hi
5.0,22.72588,7.89131,58.15595,2.58314,0.74226,0.89794,0.88052,0.11948,0.25774,0.81271,0.77846,0.88535,0.67238,0.81536,0.81733,0.97201
5.25,22.61544,7.33911,58.70815,2.69358,0.75499,0.89357,0.88888,0.11112,0.24501,0.81846,0.78245,0.89018,0.68533,0.82883,0.81356,0.96609
5.5,22.61544,7.22867,58.81859,2.69358,0.75779,0.89357,0.89055,0.10945,0.24221,0.8201,0.78413,0.89139,0.68786,0.83005,0.81356,0.96609
5.75,22.28412,6.78691,59.26035,3.0249,0.76654,0.88048,0.89724,0.10276,0.23346,0.81957,0.77772,0.8926,0.69696,0.84155,0.79861,0.95259
6.0,22.17368,6.56603,59.48123,3.13534,0.77153,0.87612,0.90059,0.09941,0.22847,0.82051,0.7767,0.89381,0.70135,0.84673,0.79578,0.94936
6.25,21.97884,6.56603,59.48123,3.33017,0.76998,0.86842,0.90059,0.09941,0.23002,0.81624,0.76901,0.89167,0.69931,0.84566,0.78847,0.94096
6.5,21.784,6.56603,59.48123,3.52501,0.76839,0.86072,0.90059,0.09941,0.23161,0.81194,0.76131,0.88954,0.69722,0.84454,0.77975,0.93597
6.75,21.784,6.37119,59.67607,3.52501,0.77371,0.86072,0.90354,0.09646,0.22629,0.8149,0.76426,0.89167,0.70046,0.84937,0.77975,0.93597
7.0,21.784,5.98151,60.06575,3.52501,0.78457,0.86072,0.90944,0.09056,0.21543,0.82088,0.77016,0.89594,0.71168,0.86212,0.77975,0.93597
7.25,21.39432,5.98151,60.06575,3.91469,0.7815,0.84532,0.90944,0.09056,0.2185,0.81216,0.75476,0.89167,0.70698,0.85928,0.76284,0.9224
7.5,21.00465,5.59184,60.45542,4.30436,0.78975,0.82993,0.91534,0.08466,0.21025,0.80934,0.74526,0.89167,0.71599,0.86691,0.74558,0.90711
7.75,21.00465,5.20216,60.8451,4.30436,0.8015,0.82993,0.92124,0.07876,0.1985,0.81546,0.75116,0.89594,0.72473,0.87844,0.74558,0.90711
8.0,21.00465,4.81248,61.23478,4.30436,0.81359,0.82993,0.92714,0.07286,0.18641,0.82168,0.75706,0.90021,0.73673,0.89047,0.74558,0.90711
8.25,21.00465,4.61765,61.42961,4.30436,0.81978,0.82993,0.93009,0.06991,0.18022,0.82482,0.76001,0.90234,0.74185,0.89769,0.74558,0.90711
8.5,20.80981,4.22797,61.81929,4.4992,0.83114,0.82223,0.93599,0.06401,0.16886,0.82666,0.75821,0.90447,0.75382,0.90886,0.7421,0.90001
8.75,20.61497,3.83829,62.20897,4.69404,0.84304,0.81453,0.94189,0.05811,0.15696,0.82854,0.75642,0.9066,0.76558,0.9202,0.73448,0.89255
9.0,20.2253,3.64346,62.4038,5.08372,0.84735,0.79913,0.94484,0.05516,0.15265,0.82254,0.74397,0.90447,0.76762,0.92576,0.72098,0.87456
9.25,19.83562,3.25378,62.79348,5.47339,0.85908,0.78374,0.95074,0.04926,0.14092,0.81968,0.73447,0.90447,0.77971,0.93639,0.70672,0.85917
9.5,19.83562,3.25378,62.79348,5.47339,0.85908,0.78374,0.95074,0.04926,0.14092,0.81968,0.73447,0.90447,0.77971,0.93639,0.70672,0.85917
9.75,19.64078,3.25378,62.79348,5.66823,0.85788,0.77604,0.95074,0.04926,0.14212,0.81491,0.72677,0.90234,0.77782,0.93605,0.699,0.85117
10.0,19.25111,3.05894,62.98832,6.05791,0.86289,0.76064,0.95369,0.04631,0.13711,0.80855,0.71433,0.90021,0.78268,0.93947,0.68447,0.83216
