id,orden,x,y,chm_m,estrato,peso_m2,bloque
v0115,16,562215.5,4667359.5,2.2300000190734863,"[1.5,2.5)",2354.22,PNOA-2024-GAL-562-4668-H29-NPC01
v0145,17,562223.5,4667540.5,2.1700000762939453,"[1.5,2.5)",2354.22,PNOA-2024-GAL-562-4668-H29-NPC01
v0232,18,559791.5,4673364.5,4.059999942779541,"[4,6)",1104.4,PNOA-2024-GAL-559-4674-H29-NPC01
v0260,19,549525.5,4678041.5,4.269999980926514,"[4,6)",1104.4,PNOA-2024-GAL-549-4679-H29-NPC01
v0014,20,559473.5,4673225.5,0.07999999821186066,"[0,0.5)",7263.62,PNOA-2024-GAL-559-4674-H29-NPC01
v0030,21,562065.5,4667553.5,0.25,"[0,0.5)",7263.62,PNOA-2024-GAL-562-4668-H29-NPC01
v0283,22,559491.5,4673812.5,9.220000267028809,"[6,10)",1948.38,PNOA-2024-GAL-559-4674-H29-NPC01
v0197,23,562665.5,4667436.5,2.7200000286102295,"[2.5,4)",1354.65,PNOA-2024-GAL-562-4668-H29-NPC01
v0100,24,562789.5,4667414.5,2.450000047683716,"[1.5,2.5)",2354.22,PNOA-2024-GAL-562-4668-H29-NPC01
v0255,25,559359.5,4673420.5,4.800000190734863,"[4,6)",1104.4,PNOA-2024-GAL-559-4674-H29-NPC01
v0203,26,562414.5,4667237.5,2.609999895095825,"[2.5,4)",1354.65,PNOA-2024-GAL-562-4668-H29-NPC01
v0121,27,559423.5,4673714.5,2.2699999809265137,"[1.5,2.5)",2354.22,PNOA-2024-GAL-559-4674-H29-NPC01
v0330,28,549206.5,4678054.5,12.020000457763672,"[10,20)",3579.04,PNOA-2024-GAL-549-4679-H29-NPC01
v0224,29,559990.5,4673229.5,4.559999942779541,"[4,6)",1104.4,PNOA-2024-GAL-559-4674-H29-NPC01
v0394,30,549400.5,4678600.5,33.16999816894531,"[20,inf)",2768.07,PNOA-2024-GAL-549-4679-H29-NPC01
v0399,31,549481.5,4678712.5,30.56999969482422,"[20,inf)",2768.07,PNOA-2024-GAL-549-4679-H29-NPC01
