x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada
550593.5,4672284.5,16.86,13.97,54,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550031.5,4672738.5,16.85,12.72,100,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550493.5,4672130.5,16.73,12.72,129,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550561.5,4672185.5,16.9,12.12,227,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550720.5,4672258.5,17.33,11.39,300,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550715.5,4672246.5,16.46,12.68,148,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550896.5,4672470.5,16.24,12.33,239,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550889.5,4672928.5,16.33,12.33,192,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550786.5,4672475.5,16.25,13.55,118,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550892.5,4672937.5,16.17,12.94,354,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550907.5,4672467.5,16.22,11.74,284,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550571.5,4672167.5,16.45,11.71,218,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550079.5,4672694.5,16.22,10.41,168,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550774.5,4672494.5,17.12,12.94,112,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550534.5,4672166.5,16.36,11.3,288,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550603.5,4672854.5,16.19,11.85,210,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550026.5,4672744.5,16.72,13.38,51,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550288.5,4672994.5,15.88,12.78,215,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550589.5,4672292.5,16.28,13.58,53,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550594.5,4672783.5,16.48,11.22,241,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550157.5,4672705.5,16.11,12.41,193,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550578.5,4672289.5,16.05,12.37,207,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550023.5,4672738.5,15.86,12.69,88,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550924.5,4672869.5,15.59,10.68,144,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550681.5,4672481.5,15.9,11.17,231,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
550228.5,4672976.5,15.42,10.78,273,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True
