x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada
525454.5,4688847.5,6.57,6.17,13,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525716.5,4688833.5,6.7,6.47,7,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525297.5,4688830.5,6.54,6.1,16,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525881.5,4688051.5,6.39,6.18,9,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525868.5,4688035.5,6.47,6.22,6,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525691.5,4688820.5,6.48,6.3,4,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525912.5,4688028.5,7.05,6.32,4,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525898.5,4688014.5,6.1,5.85,3,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525884.5,4688033.5,6.14,6.06,3,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True
525617.5,4689339.5,37.42,25.19,152,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525554.5,4689376.5,30.01,16.82,234,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525571.5,4689373.5,28.48,19.14,250,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525669.5,4689263.5,27.72,17.07,139,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525668.5,4689269.5,27.16,21.37,115,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
