x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada,pred_prohibida,p_eucalipto,p_frondosa,p_pino
550662.5,4669368.5,8.72,7.02,77,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.3859,0.116,0.4981
550656.5,4669352.5,8.69,6.87,93,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.4197,0.3286,0.2517
550694.5,4669544.5,9.09,6.87,46,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.1569,0.1903,0.6528
550971.5,4669303.5,8.19,6.77,62,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.5137,0.154,0.3322
550737.5,4669297.5,8.71,7.18,43,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.1786,0.0285,0.7929
550973.5,4669312.5,8.81,6.68,70,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.8258,0.0375,0.1367
550728.5,4669317.5,8.29,6.89,49,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.742,0.015,0.243
550700.5,4669318.5,8.21,6.87,68,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.1386,0.137,0.7243
550816.5,4669248.5,8.01,6.72,79,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.8799,0.088,0.0321
550979.5,4669307.5,7.84,6.68,69,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.4434,0.4652,0.0913
550605.5,4669324.5,7.78,7.2,34,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.5619,0.0528,0.3853
550536.5,4669333.5,7.94,7.26,21,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.2352,0.0958,0.669
550600.5,4669324.5,7.75,6.85,49,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.7172,0.01,0.2728
550693.5,4669569.5,8.09,6.76,22,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.2774,0.3365,0.3861
550738.5,4669289.5,7.47,6.74,40,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.5989,0.0258,0.3753
550962.5,4669310.5,7.88,6.6,51,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.2268,0.1007,0.6725
550600.5,4669353.5,7.95,6.8,28,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.1224,0.1117,0.7659
550672.5,4669571.5,7.55,6.13,115,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.5793,0.2545,0.1662
550804.5,4669253.5,7.77,6.6,27,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.9673,0.0182,0.0144
550558.5,4669348.5,7.52,6.73,21,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.1566,0.3619,0.4815
550676.5,4669338.5,7.35,6.64,12,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.0486,0.0366,0.9149
550680.5,4669569.5,7.52,6.35,13,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.5392,0.3171,0.1437
550514.5,4669317.5,7.0,6.32,23,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.0958,0.4387,0.4655
550855.5,4669296.5,6.73,6.31,15,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.1604,0.1324,0.7072
550667.5,4669383.5,6.39,6.05,12,PNOA-2024-GAL-550-4670-H29-NPC01,A Cañiza,A Franqueira (Santa María),110_933,True,1,0.3002,0.1243,0.5755
