x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada,pred_prohibida,p_eucalipto,p_frondosa,p_pino
525435.5,4688854.5,10.47,7.58,184,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3914,0.1672,0.4414
525611.5,4688829.5,10.15,8.0,163,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.1672,0.359,0.4738
525522.5,4688569.5,10.59,8.1,108,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.111,0.7303,0.1587
525545.5,4688791.5,11.05,10.09,17,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3677,0.2059,0.4264
525557.5,4688540.5,10.92,8.18,85,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.0556,0.8597,0.0847
525288.5,4688942.5,10.48,7.9,48,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2692,0.4604,0.2704
525576.5,4688709.5,9.72,8.03,50,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.6386,0.2669,0.0946
525535.5,4688584.5,9.73,7.97,29,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3052,0.2922,0.4026
525794.5,4688979.5,9.31,7.61,43,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.1198,0.1254,0.7548
525697.5,4688810.5,9.26,7.44,42,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.8925,0.0741,0.0334
525882.5,4688059.5,8.74,7.39,44,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,0,0.2635,0.5218,0.2147
525459.5,4688842.5,8.75,7.25,51,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2253,0.3267,0.448
525518.5,4688557.5,8.05,6.95,49,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3172,0.3088,0.3739
525516.5,4688542.5,8.45,6.79,35,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3657,0.1277,0.5066
525563.5,4688745.5,7.99,7.03,58,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.0956,0.8394,0.065
525617.5,4688843.5,8.0,6.78,46,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3308,0.348,0.3212
525538.5,4688648.5,8.71,6.79,31,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4948,0.146,0.3592
525503.5,4688825.5,7.97,6.67,41,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2878,0.2941,0.4181
525705.5,4688970.5,8.11,7.37,12,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.0985,0.1837,0.7179
525841.5,4688981.5,7.37,6.56,52,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4787,0.3711,0.1502
525846.5,4688988.5,7.11,6.53,38,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2432,0.302,0.4548
525397.5,4688879.5,7.58,6.41,19,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3337,0.3513,0.315
525892.5,4688080.5,7.17,6.72,19,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.1689,0.3249,0.5062
525591.5,4688714.5,8.27,6.95,13,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4143,0.1111,0.4746
525858.5,4688025.5,7.35,6.43,28,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.2605,0.0956,0.6439
525294.5,4688908.5,7.0,6.29,15,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2339,0.0995,0.6667
525900.5,4688034.5,6.89,6.3,14,PNOA-2024-GAL-525-4689-H29-NPC01,Vilaboa,Cobres (Santo Adrán),105_937,True,1,0.0561,0.03,0.9139
525514.5,4688518.5,6.98,6.41,10,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3787,0.1455,0.4758
525564.5,4688553.5,7.13,6.9,4,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2596,0.213,0.5274
525497.5,4688542.5,7.26,6.79,6,PNOA-2024-GAL-525-4689-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3876,0.188,0.4244
