faixa_id,capa,concello,parroquia,codparro,bloque,px_medidos,ha_medida,ha_poligono_en_bloque,h_mediana,h_p90,h_max,ha_sobre_2m,pct_sobre_2m,ha_sobre_3m,pct_sobre_3m,ha_sobre_5m,pct_sobre_5m,ha_sobre_5.5m,pct_sobre_5.5m,ha_sobre_8m,pct_sobre_8m,ha_sobre_10m,pct_sobre_10m,ha_sobre_35m,pct_sobre_35m
nuc-37,nucleos,A Cañiza,Valeixe (Santa Cristina),3600909.0,PNOA-2024-GAL-559-4667-H29-NPC01_chm.tif,235,0.0235,0.0235,19.3,22.03,23.43,0.0234,99.57,0.0234,99.57,0.0234,99.57,0.0234,99.57,0.0234,99.57,0.0234,99.57,0.0,0.0
nuc-44,nucleos,Arbo,Mourentán (San Cristovo),3600105.0,PNOA-2024-GAL-559-4667-H29-NPC01_chm.tif,65743,6.5743,6.5763,3.6,17.93,43.58,4.0524,61.64,3.4378,52.29,2.926,44.51,2.8033,42.64,2.2532,34.27,1.8652,28.37,0.0156,0.24
ill-10,illadas,Arbo,Mourentán (San Cristovo),3600105.0,PNOA-2024-GAL-559-4667-H29-NPC01_chm.tif,6654,0.6654,0.6661,13.37,21.35,34.54,0.5571,83.72,0.5245,78.82,0.4785,71.91,0.47,70.63,0.427,64.17,0.4075,61.24,0.0,0.0
ill-13,illadas,Crecente,Albeos (San Xoán),3601401.0,PNOA-2024-GAL-559-4667-H29-NPC01_chm.tif,8797,0.8797,0.8789,2.17,15.12,35.65,0.5148,58.52,0.2992,34.01,0.2255,25.63,0.2178,24.76,0.1716,19.51,0.1464,16.64,0.0012,0.14
ill-17,illadas,A Cañiza,Valeixe (Santa Cristina),3600909.0,PNOA-2024-GAL-559-4667-H29-NPC01_chm.tif,14283,1.4283,1.4283,9.63,20.71,30.13,0.9877,69.15,0.9299,65.11,0.8618,60.34,0.8504,59.54,0.7748,54.25,0.6974,48.83,0.0,0.0
ill-24,illadas,A Cañiza,Valeixe (Santa Cristina),3600909.0,PNOA-2024-GAL-559-4667-H29-NPC01_chm.tif,2203,0.2203,0.2205,9.2,24.97,34.95,0.1628,73.9,0.1448,65.73,0.1323,60.05,0.1309,59.42,0.1191,54.06,0.1065,48.34,0.0,0.0
ill-31,illadas,Arbo,Mourentán (San Cristovo),3600105.0,PNOA-2024-GAL-559-4667-H29-NPC01_chm.tif,1830,0.183,0.1827,24.59,34.19,39.94,0.1739,95.03,0.1716,93.77,0.1692,92.46,0.1683,91.97,0.1627,88.91,0.1603,87.6,0.0109,5.96
nuc-32,nucleos,A Cañiza,Valeixe (Santa Cristina),3600909.0,PNOA-2024-GAL-559-4668-H29-NPC01_chm.tif,227932,22.7932,22.7892,3.57,18.35,43.3,14.7262,64.61,11.9639,52.49,10.2486,44.96,9.885,43.37,8.2272,36.09,6.953,30.5,0.0473,0.21
ill-17,illadas,A Cañiza,Valeixe (Santa Cristina),3600909.0,PNOA-2024-GAL-559-4668-H29-NPC01_chm.tif,39516,3.9516,3.9548,5.37,28.01,38.99,2.5224,63.83,2.2005,55.69,2.0086,50.83,1.9679,49.8,1.7613,44.57,1.5886,40.2,0.0754,1.91
nuc-32,nucleos,A Cañiza,Valeixe (Santa Cristina),3600909.0,PNOA-2024-GAL-559-4669-H29-NPC01_chm.tif,248842,24.8842,24.8755,1.99,12.79,44.72,12.347,49.62,8.3753,33.66,6.4846,26.06,6.0949,24.49,4.5785,18.4,3.6155,14.53,0.1143,0.46
ill-17,illadas,A Cañiza,Valeixe (Santa Cristina),3600909.0,PNOA-2024-GAL-559-4669-H29-NPC01_chm.tif,65594,6.5594,6.5565,2.25,15.68,47.12,3.6351,55.42,2.5963,39.58,2.2057,33.63,2.138,32.59,1.8105,27.6,1.5414,23.5,0.035,0.53
nuc-32,nucleos,A Cañiza,Valeixe (Santa Cristina),3600909.0,PNOA-2024-GAL-559-4670-H29-NPC01_chm.tif,191481,19.1481,19.1484,2.35,16.4,41.46,10.8679,56.76,8.3896,43.81,6.6589,34.78,6.351,33.17,5.0493,26.37,4.1558,21.7,0.0728,0.38
ill-17,illadas,A Cañiza,Valeixe (Santa Cristina),3600909.0,PNOA-2024-GAL-559-4670-H29-NPC01_chm.tif,86601,8.6601,8.6604,2.87,21.85,39.38,4.9119,56.72,4.2527,49.11,3.4261,39.56,3.2567,37.61,2.5829,29.83,2.1059,24.32,0.0258,0.3
nuc-31,nucleos,A Cañiza,A Cañiza (Santa Teresa),3600902.0,PNOA-2024-GAL-559-4671-H29-NPC01_chm.tif,3868,0.3868,0.3873,11.3,22.78,27.78,0.3158,81.64,0.2942,76.06,0.2647,68.43,0.2611,67.5,0.2402,62.1,0.2159,55.82,0.0,0.0
nuc-32,nucleos,A Cañiza,Valeixe (Santa Cristina),3600909.0,PNOA-2024-GAL-559-4671-H29-NPC01_chm.tif,98202,9.8202,9.8279,4.08,23.14,48.67,5.8304,59.37,5.2906,53.87,4.6354,47.2,4.5001,45.82,3.8693,39.4,3.4862,35.5,0.2533,2.58
ill-6,illadas,A Cañiza,A Cañiza (Santa Teresa),3600902.0,PNOA-2024-GAL-559-4671-H29-NPC01_chm.tif,9069,0.9069,0.9084,3.29,20.68,38.86,0.5713,62.99,0.4678,51.58,0.4035,44.49,0.3904,43.05,0.3675,40.52,0.35,38.59,0.0092,1.01
ill-17,illadas,A Cañiza,Valeixe (Santa Cristina),3600909.0,PNOA-2024-GAL-559-4671-H29-NPC01_chm.tif,650,0.065,0.0652,35.44,38.9,41.1,0.0631,97.08,0.0612,94.15,0.057,87.69,0.056,86.15,0.0536,82.46,0.053,81.54,0.0341,52.46
nuc-31,nucleos,A Cañiza,A Cañiza (Santa Teresa),3600902.0,PNOA-2024-GAL-559-4672-H29-NPC01_chm.tif,51911,5.1911,5.2183,2.23,27.73,40.31,2.6379,50.82,2.4802,47.78,2.2501,43.35,2.1972,42.33,1.9538,37.64,1.7524,33.76,0.0671,1.29
nuc-46,nucleos,A Cañiza,As Achas (San Sebastián),3600901.0,PNOA-2024-GAL-559-4672-H29-NPC01_chm.tif,1430,0.143,0.143,8.74,15.12,18.35,0.1072,74.97,0.1033,72.24,0.0947,66.22,0.0918,64.2,0.0762,53.29,0.0629,43.99,0.0,0.0
nuc-31,nucleos,A Cañiza,A Cañiza (Santa Teresa),3600902.0,PNOA-2024-GAL-559-4673-H29-NPC01_chm.tif,2198,0.2198,0.2194,14.73,18.0,21.33,0.2116,96.27,0.2071,94.22,0.1999,90.95,0.1974,89.81,0.181,82.35,0.1679,76.39,0.0,0.0
nuc-46,nucleos,A Cañiza,As Achas (San Sebastián),3600901.0,PNOA-2024-GAL-559-4673-H29-NPC01_chm.tif,45826,4.5826,4.5808,0.56,9.62,21.82,1.7221,37.58,1.514,33.04,1.1452,24.99,1.0533,22.98,0.6696,14.61,0.4197,9.16,0.0,0.0
ill-6,illadas,A Cañiza,A Cañiza (Santa Teresa),3600902.0,PNOA-2024-GAL-559-4673-H29-NPC01_chm.tif,40373,4.0373,4.0395,1.77,22.43,40.02,1.9772,48.97,1.7926,44.4,1.5894,39.37,1.5539,38.49,1.387,34.35,1.2201,30.22,0.0288,0.71
ill-46,illadas,A Cañiza,As Achas (San Sebastián),3600901.0,PNOA-2024-GAL-559-4673-H29-NPC01_chm.tif,35864,3.5864,3.5832,0.2,8.21,40.8,0.9075,25.3,0.7766,21.65,0.5939,16.56,0.5485,15.29,0.3716,10.36,0.2477,6.91,0.0115,0.32
