concello,parroquia,codparro,ha_medida,ha_sobre_2m,ha_sobre_3m,ha_sobre_5m,ha_sobre_5.5m,ha_sobre_8m,ha_sobre_10m,ha_sobre_35m,pct_sobre_2m,pct_sobre_3m,pct_sobre_5m,pct_sobre_5.5m,pct_sobre_8m,pct_sobre_10m,pct_sobre_35m
Lalín,Parada (Santa María),3602438.0,34.754,8.08,7.175,6.053,5.792,4.53,3.699,0.008,23.25,20.64,17.42,16.67,13.03,10.64,0.02
Agolada,As Trabancas (San Mamede),3602022.0,31.561,7.459,6.97,5.992,5.787,4.773,3.807,0.0,23.63,22.08,18.98,18.33,15.12,12.06,0.0
Forcarei,Pereira (San Bartolomeu),3601809.0,32.329,7.498,6.932,5.942,5.718,4.635,3.79,0.0,23.19,21.44,18.38,17.69,14.34,11.72,0.0
Ponte Caldelas,Castro Barbudo (Santa María),3604302.0,16.198,7.576,6.851,5.822,5.602,4.649,3.844,0.015,46.77,42.29,35.94,34.58,28.7,23.73,0.09
Silleda,Carboeiro (Santa María),3605204.0,21.089,7.764,7.129,5.816,5.503,4.211,3.391,0.007,36.82,33.8,27.58,26.09,19.97,16.08,0.03
Covelo,Prado de Canda (Santiago),3601314.0,14.427,7.878,7.26,5.854,5.496,3.828,2.662,0.0,54.6,50.32,40.58,38.1,26.53,18.45,0.0
Silleda,Cervaña (San Salvador),3605206.0,27.161,8.113,7.237,5.739,5.435,4.248,3.508,0.035,29.87,26.65,21.13,20.01,15.64,12.91,0.13
Covelo,Fofe (San Miguel),3601306.0,13.918,8.292,7.211,5.693,5.367,3.976,3.118,0.017,59.58,51.81,40.9,38.56,28.57,22.4,0.12
Agolada,Brocos (San Miguel),3602010.0,14.778,6.594,6.191,5.491,5.327,4.606,4.165,0.011,44.62,41.89,37.16,36.05,31.17,28.18,0.08
Agolada,A Baíña (San Pedro),3602003.0,12.96,5.92,5.658,5.218,5.098,4.472,3.938,0.0,45.68,43.66,40.26,39.34,34.51,30.39,0.0
Ponte Caldelas,Taboadelo (Santiago),3604308.0,17.463,7.417,6.408,5.277,5.038,4.066,3.463,0.015,42.47,36.7,30.22,28.85,23.28,19.83,0.08
Silleda,Ansemil (San Pedro),3605202.0,22.258,7.555,6.624,5.214,4.964,4.228,3.721,0.028,33.94,29.76,23.42,22.3,18.99,16.72,0.13
Campo Lameiro,Morillas (Santiago),3600705.0,12.597,6.13,5.524,4.67,4.498,3.745,3.173,0.032,48.66,43.86,37.08,35.7,29.73,25.19,0.25
A Estrada,Liripio (San Xoán Bautista),3601724.0,22.729,6.935,6.151,4.748,4.468,3.284,2.433,0.0,30.51,27.06,20.89,19.66,14.45,10.71,0.0
Silleda,Pazos (San Martiño),3605223.0,18.894,6.183,5.492,4.453,4.266,3.619,3.146,0.043,32.72,29.07,23.57,22.58,19.16,16.65,0.23
Lalín,Lodeiro (San Paio),3602429.0,18.104,4.822,4.475,4.014,3.914,3.363,2.842,0.0,26.63,24.72,22.17,21.62,18.57,15.7,0.0
Ribadumia,Besomaño (Santa María),3604603.0,32.186,17.631,5.824,4.15,3.906,2.962,2.438,0.032,54.78,18.1,12.89,12.13,9.2,7.57,0.1
Caldas de Reis,Caldas de Reis (San Tomé e Santa María),3600503.0,18.164,7.528,5.772,4.149,3.888,2.877,2.088,0.024,41.44,31.78,22.84,21.4,15.84,11.49,0.13
Agolada,Santa Comba (San Xoán),3602019.0,19.524,4.715,4.4,3.889,3.784,3.288,2.737,0.0,24.15,22.54,19.92,19.38,16.84,14.02,0.0
