concello,parroquia,codparro,ha_medida,ha_sobre_2m,ha_sobre_3m,ha_sobre_5m,ha_sobre_5.5m,ha_sobre_8m,ha_sobre_10m,ha_sobre_35m,pct_sobre_2m,pct_sobre_3m,pct_sobre_5m,pct_sobre_5.5m,pct_sobre_8m,pct_sobre_10m,pct_sobre_35m
Meaño,Dena (Santa Eulalia),3602702.0,172.554,89.602,37.538,27.499,25.978,19.71,16.038,0.307,51.93,21.75,15.94,15.05,11.42,9.29,0.18
Lalín,Bermés (Santa María),3602407.0,89.98,30.462,29.188,26.39,25.657,22.029,19.149,0.048,33.85,32.44,29.33,28.51,24.48,21.28,0.05
Cotobade,Sacos (Santa María),3690217.0,52.259,30.439,28.726,26.187,25.618,22.808,20.29,0.137,58.25,54.97,50.11,49.02,43.64,38.82,0.26
Tui,Malvas (Santiago),3605505.0,69.044,35.761,31.529,26.577,25.559,21.352,18.412,0.634,51.79,45.66,38.49,37.02,30.92,26.67,0.92
Caldas de Reis,San Clemente de Cesar (San Clemente),3600506.0,97.804,37.773,30.652,26.361,25.538,21.821,18.915,0.481,38.62,31.34,26.95,26.11,22.31,19.34,0.49
Tomiño,Sobrada (San Salvador),3605410.0,45.674,30.981,28.538,26.068,25.534,23.275,21.823,1.556,67.83,62.48,57.07,55.9,50.96,47.78,3.41
Gondomar,Vilaza (Santa María),3602109.0,69.766,37.982,32.672,26.645,25.531,20.716,17.383,0.54,54.44,46.83,38.19,36.6,29.69,24.92,0.77
Cotobade,Carballedo (San Miguel),3690204.0,60.33,29.913,28.377,26.051,25.525,22.879,20.603,0.186,49.58,47.04,43.18,42.31,37.92,34.15,0.31
Poio,Poio (San Salvador),3604103.0,81.063,37.448,32.175,26.532,25.442,20.371,16.875,0.159,46.2,39.69,32.73,31.39,25.13,20.82,0.2
A Lama,Verducido (San Martiño),3602503.0,46.403,29.947,28.458,26.04,25.434,22.204,19.377,0.2,64.54,61.33,56.12,54.81,47.85,41.76,0.43
Vilanova de Arousa,Tremoedo (Santo Estevo),3606106.0,138.457,66.233,34.404,26.563,25.367,20.514,17.313,0.176,47.84,24.85,19.19,18.32,14.82,12.5,0.13
A Cañiza,Luneda (Santa María),3600905.0,63.772,33.596,30.218,26.066,25.198,21.296,18.264,0.497,52.68,47.38,40.87,39.51,33.39,28.64,0.78
Gondomar,Borreiros (San Martiño),3602101.0,73.482,36.426,32.145,26.183,25.032,19.944,16.44,0.287,49.57,43.75,35.63,34.07,27.14,22.37,0.39
Lalín,Bendoiro (San Miguel),3602406.0,71.761,32.086,29.612,25.572,24.708,21.153,18.575,0.018,44.71,41.27,35.63,34.43,29.48,25.88,0.03
A Estrada,Callobre (San Martiño),3601712.0,123.373,38.47,32.699,25.953,24.69,19.661,16.759,0.199,31.18,26.5,21.04,20.01,15.94,13.58,0.16
Sanxenxo,Padriñán (San Xenxo),3605108.0,84.139,42.819,32.042,25.891,24.609,19.783,16.931,0.231,50.89,38.08,30.77,29.25,23.51,20.12,0.28
Forcarei,A Madanela de Montes (Santa María Madanela),3601805.0,57.736,31.994,29.869,25.591,24.593,19.665,15.794,0.025,55.41,51.73,44.32,42.6,34.06,27.35,0.04
Cotobade,Loureiro (Santiago),3690211.0,40.427,28.36,27.275,25.14,24.577,21.604,19.074,0.23,70.15,67.47,62.19,60.79,53.44,47.18,0.57
Silleda,Escuadro (San Salvador),3605211.0,124.519,33.62,30.951,25.663,24.541,20.12,16.809,0.169,27.0,24.86,20.61,19.71,16.16,13.5,0.14
Gondomar,Donas (Santa Baia),3602104.0,79.696,36.354,31.495,25.586,24.538,19.575,16.374,0.511,45.62,39.52,32.1,30.79,24.56,20.54,0.64
Meaño,Xil (Santa Eulalia),3602707.0,104.381,58.54,30.586,25.409,24.527,20.858,18.404,1.161,56.08,29.3,24.34,23.5,19.98,17.63,1.11
A Estrada,Oca (Santo Estevo),3601729.0,80.756,35.046,30.461,25.436,24.447,20.125,17.109,0.069,43.4,37.72,31.5,30.27,24.92,21.19,0.09
Ponteareas,Celeiros (San Fins),3604206.0,58.331,34.301,29.678,25.234,24.339,20.778,18.268,0.294,58.8,50.88,43.26,41.73,35.62,31.32,0.5
Mos,Pereiras (San Miguel),3603306.0,71.782,35.456,29.569,24.979,24.12,20.002,17.333,1.72,49.39,41.19,34.8,33.6,27.87,24.15,2.4
A Estrada,Vinseiro (Santa Cristina),3601751.0,72.192,31.218,28.286,24.666,23.872,20.34,17.736,0.393,43.24,39.18,34.17,33.07,28.18,24.57,0.54
A Estrada,San Xurxo de Vea (San Xurxo),3601748.0,100.724,36.983,30.839,24.956,23.832,19.228,16.09,0.164,36.72,30.62,24.78,23.66,19.09,15.97,0.16
Lalín,O Cello (San Martiño),3602415.0,102.568,29.544,27.683,24.564,23.815,20.394,17.771,0.0,28.8,26.99,23.95,23.22,19.88,17.33,0.0
As Neves,San Xosé de Ribarteme (San Xosé),3603407.0,65.768,38.265,31.356,24.912,23.743,19.549,16.626,0.361,58.18,47.68,37.88,36.1,29.72,25.28,0.55
A Estrada,Ribeira (Santa Mariña),3601737.0,74.76,34.731,29.009,24.488,23.674,20.335,18.028,0.063,46.46,38.8,32.76,31.67,27.2,24.11,0.08
Catoira,Abalo (San Mamede),3601001.0,65.943,32.013,28.715,24.299,23.381,19.277,16.294,0.143,48.55,43.54,36.85,35.46,29.23,24.71,0.22
Redondela,Quintela (San Mamede),3604506.0,99.126,45.033,35.66,25.072,23.172,16.264,12.426,0.289,45.43,35.97,25.29,23.38,16.41,12.54,0.29
Nigrán,Camos (Santa Baia),3603501.0,79.079,37.258,31.52,24.439,23.117,17.739,13.989,0.437,47.11,39.86,30.91,29.23,22.43,17.69,0.55
Sanxenxo,Vilalonga (San Pedro),3605109.0,137.208,45.126,30.566,24.28,23.091,17.88,14.328,0.332,32.89,22.28,17.7,16.83,13.03,10.44,0.24
Caldas de Reis,Arcos da Condesa (Santa Mariña),3600501.0,82.376,35.773,27.81,23.881,23.032,19.021,16.018,0.674,43.43,33.76,28.99,27.96,23.09,19.45,0.82
Cotobade,Rebordelo (San Martiño),3690215.0,43.299,27.942,26.157,23.477,22.929,20.241,17.467,0.028,64.53,60.41,54.22,52.95,46.75,40.34,0.06
Pazos de Borbén,Borbén (Santiago),3603702.0,51.522,29.392,26.688,23.46,22.747,19.528,16.898,0.36,57.05,51.8,45.53,44.15,37.9,32.8,0.7
Barro,Portela (San Mamede),3600205.0,73.073,33.386,27.481,23.439,22.541,19.072,16.762,1.343,45.69,37.61,32.08,30.85,26.1,22.94,1.84
Tui,Baldráns (Santiago),3605502.0,51.461,30.744,26.018,23.034,22.459,19.977,18.171,0.389,59.74,50.56,44.76,43.64,38.82,35.31,0.76
Mondariz,Meirol (Santo André),3603004.0,42.297,27.864,25.71,22.985,22.387,19.421,16.961,0.994,65.88,60.78,54.34,52.93,45.92,40.1,2.35
Ponteareas,Bugarín (Santa Cristina),3604205.0,64.485,33.32,27.106,23.16,22.356,19.02,16.544,0.196,51.67,42.03,35.91,34.67,29.5,25.66,0.3
Vilaboa,Santa Comba de Bértola (Santa Comba),3605801.0,66.598,30.66,26.813,23.031,22.298,19.163,16.909,1.022,46.04,40.26,34.58,33.48,28.77,25.39,1.53
Tomiño,San Salvador de Tebra (San Salvador),3605412.0,38.829,26.071,24.578,22.681,22.296,20.39,18.894,2.553,67.14,63.3,58.41,57.42,52.51,48.66,6.58
Vilagarcía de Arousa,Cornazo (San Pedro),3606005.0,71.548,35.959,29.468,23.39,22.28,17.465,14.329,0.976,50.26,41.19,32.69,31.14,24.41,20.03,1.36
A Lama,Escuadra (San Lourenzo),3602505.0,56.835,28.816,26.688,22.941,22.048,17.625,14.203,0.005,50.7,46.96,40.36,38.79,31.01,24.99,0.01
A Estrada,Curantes (San Miguel),3601718.0,66.756,28.087,26.187,22.759,21.997,18.269,15.156,0.093,42.07,39.23,34.09,32.95,27.37,22.7,0.14
Nigrán,Priegue (San Mamede),3603506.0,73.86,36.238,30.424,23.255,21.996,16.267,12.492,0.027,49.06,41.19,31.48,29.78,22.02,16.91,0.04
As Neves,Vide (Santa María),3603413.0,64.991,37.922,29.275,23.088,21.904,18.088,15.302,0.11,58.35,45.04,35.52,33.7,27.83,23.55,0.17
Salvaterra de Miño,Pesqueiras (Santa Mariña),3605012.0,47.375,30.244,26.351,22.633,21.882,18.641,16.115,0.567,63.84,55.62,47.77,46.19,39.35,34.02,1.2
Salvaterra de Miño,Soutolobre (Santa Comba),3605015.0,40.599,28.913,26.131,22.495,21.816,18.964,16.521,0.252,71.21,64.36,55.41,53.73,46.71,40.69,0.62
Vilanova de Arousa,Caleiro (Santa María),3606103.0,146.788,52.445,34.882,23.558,21.814,15.753,12.648,0.058,35.73,23.76,16.05,14.86,10.73,8.62,0.04
Cuntis,Piñeiro (San Mamede),3601506.0,80.356,32.438,27.69,22.601,21.71,18.0,15.31,0.155,40.37,34.46,28.13,27.02,22.4,19.05,0.19
Poio,Samieira (Santa María),3604105.0,56.006,29.982,26.388,22.47,21.686,18.406,16.14,0.324,53.53,47.12,40.12,38.72,32.86,28.82,0.58
Ponteareas,Angoares (San Pedro),3604201.0,46.556,28.49,25.482,22.333,21.665,18.953,17.051,0.174,61.2,54.73,47.97,46.53,40.71,36.62,0.37
Lalín,Losón (Santa Baia),3602430.0,95.671,29.491,26.718,22.472,21.649,17.771,15.012,0.014,30.83,27.93,23.49,22.63,18.58,15.69,0.01
A Estrada,Santeles (San Xoán),3601742.0,101.996,34.888,28.466,22.718,21.582,17.065,14.316,0.07,34.2,27.91,22.27,21.16,16.73,14.04,0.07
Lalín,Doade (San Pedro),3602418.0,61.755,25.414,24.133,21.967,21.483,19.082,17.111,0.002,41.15,39.08,35.57,34.79,30.9,27.71,0.0
Salvaterra de Miño,Corzáns (San Miguel),3605004.0,44.385,27.539,24.711,21.973,21.421,18.816,16.696,0.351,62.05,55.67,49.51,48.26,42.39,37.62,0.79
Covelo,Casteláns (Santo Estevo),3601303.0,43.512,26.876,24.884,21.853,21.242,18.442,16.253,0.071,61.77,57.19,50.22,48.82,42.38,37.35,0.16
Salvaterra de Miño,Uma (Santo André),3605016.0,42.468,26.639,24.418,21.704,21.096,18.212,16.087,1.029,62.73,57.5,51.11,49.67,42.88,37.88,2.42
A Estrada,Riobó (San Martiño),3601739.0,62.88,28.312,25.183,21.774,21.081,17.961,15.685,0.023,45.03,40.05,34.63,33.53,28.56,24.95,0.04
Redondela,Negros (Santo Estevo),3604505.0,67.534,34.704,28.591,22.111,20.984,16.297,13.352,0.936,51.39,42.34,32.74,31.07,24.13,19.77,1.39
Salvaterra de Miño,Vilacova (San Xoán),3605017.0,38.674,25.779,23.826,21.377,20.876,18.48,16.375,0.774,66.66,61.61,55.27,53.98,47.78,42.34,2.0
Tui,Caldelas de Tui (San Martiño),3605503.0,59.339,31.476,25.825,21.442,20.695,17.631,15.53,0.162,53.04,43.52,36.13,34.88,29.71,26.17,0.27
Gondomar,Peitieiros (San Miguel),3602108.0,71.137,33.56,28.274,21.862,20.692,15.626,12.426,0.306,47.18,39.75,30.73,29.09,21.97,17.47,0.43
A Lama,Xende (San Paulo),3602507.0,36.567,24.928,23.454,21.204,20.656,18.275,16.292,0.287,68.17,64.14,57.99,56.49,49.98,44.55,0.78
Mos,Guizán (Santa María),3603303.0,62.844,29.115,25.074,21.313,20.62,17.81,15.94,0.927,46.33,39.9,33.91,32.81,28.34,25.36,1.48
Vilaboa,Figueirido (Santo André),3605804.0,60.587,28.54,25.044,21.309,20.585,17.51,15.267,0.98,47.1,41.34,35.17,33.98,28.9,25.2,1.62
Pazos de Borbén,Nespereira (San Martiño),3603706.0,49.815,25.813,23.605,21.074,20.561,18.073,16.176,1.104,51.82,47.39,42.3,41.27,36.28,32.47,2.22
Meis,San Martiño de Meis (San Martiño),3602802.0,69.974,42.165,24.161,21.094,20.49,17.89,15.811,0.283,60.26,34.53,30.15,29.28,25.57,22.6,0.4
Tui,Areas (Santa Mariña),3605501.0,67.882,31.304,26.079,21.262,20.46,17.162,15.156,1.298,46.12,38.42,31.32,30.14,25.28,22.33,1.91
Gondomar,Morgadáns (Santiago),3602107.0,90.317,32.562,27.511,21.488,20.346,15.552,12.557,0.262,36.05,30.46,23.79,22.53,17.22,13.9,0.29
Barro,Agudelo (San Martiño),3600201.0,61.78,30.927,25.092,21.034,20.217,16.504,13.669,0.194,50.06,40.62,34.05,32.72,26.71,22.13,0.31
Moraña,Lamas (Santa Cruz),3603205.0,52.645,26.135,23.607,20.784,20.175,17.389,14.843,0.897,49.64,44.84,39.48,38.32,33.03,28.19,1.7
Vilanova de Arousa,Deiro (San Miguel),3606104.0,116.451,49.585,28.78,20.932,19.837,15.149,12.271,0.159,42.58,24.71,17.97,17.03,13.01,10.54,0.14
Silleda,Lamela (San Miguel),3605214.0,79.712,28.301,25.291,20.707,19.808,16.243,13.938,0.121,35.5,31.73,25.98,24.85,20.38,17.49,0.15
Cuntis,Arcos (San Breixo),3601501.0,85.293,30.997,26.102,20.751,19.782,15.995,13.636,0.283,36.34,30.6,24.33,23.19,18.75,15.99,0.33
Ponte Caldelas,Caritel (Santa María),3604303.0,51.61,27.309,24.628,20.63,19.771,16.062,13.336,0.021,52.91,47.72,39.97,38.31,31.12,25.84,0.04
Cotobade,Valongo (Santo André),3690220.0,34.664,22.144,21.436,20.049,19.696,17.548,15.445,0.251,63.88,61.84,57.84,56.82,50.62,44.56,0.72
Tomiño,Taborda (San Miguel),3605411.0,41.154,23.619,21.093,19.794,19.514,18.163,17.181,0.938,57.39,51.25,48.1,47.42,44.13,41.75,2.28
Vilagarcía de Arousa,O Carril (Santiago de Fóra),3606013.0,71.7,32.892,26.355,20.414,19.398,14.813,11.819,0.235,45.87,36.76,28.47,27.05,20.66,16.48,0.33
As Neves,Rubiós (San Xoán),3603409.0,65.426,36.181,26.603,20.351,19.341,15.754,13.334,0.138,55.3,40.66,31.11,29.56,24.08,20.38,0.21
Portas,Lantaño (San Pedro),3604002.0,75.784,39.932,24.522,20.079,19.329,15.947,13.62,0.426,52.69,32.36,26.49,25.51,21.04,17.97,0.56
Salceda de Caselas,A Picoña (San Martiño),3604904.0,44.601,26.487,23.19,19.886,19.328,16.897,15.175,1.715,59.39,51.99,44.59,43.34,37.89,34.02,3.84
As Neves,Setados (Santa Euxenia),3603410.0,48.364,29.304,24.321,19.782,19.048,16.208,13.667,0.007,60.59,50.29,40.9,39.38,33.51,28.26,0.01
Mondariz-Balneario,Mondariz-Balneario (Nosa Señora de Lurdes),3603101.0,39.189,25.3,22.951,19.795,19.037,15.687,13.7,0.265,64.56,58.57,50.51,48.58,40.03,34.96,0.68
Silleda,Cira (Santa Baia),3605207.0,61.896,26.086,22.897,19.577,19.029,16.685,14.815,0.971,42.14,36.99,31.63,30.74,26.96,23.94,1.57
Gondomar,Gondomar (San Bieito),3602105.0,67.147,30.898,25.771,20.048,19.004,14.688,11.896,0.336,46.02,38.38,29.86,28.3,21.87,17.72,0.5
Baiona,Belesar (San Lourenzo),3600305.0,65.849,28.396,24.758,19.925,18.979,14.965,12.189,0.384,43.12,37.6,30.26,28.82,22.73,18.51,0.58
Soutomaior,Arcade (Santiago),3605301.0,82.937,34.076,28.089,20.465,18.974,13.264,9.727,0.054,41.09,33.87,24.68,22.88,15.99,11.73,0.07
Gondomar,Chaín (Santa María),3602103.0,63.521,29.88,25.384,20.009,18.967,14.548,11.57,0.181,47.04,39.96,31.5,29.86,22.9,18.21,0.29
Tomiño,Tebra (Santa María),3605413.0,49.097,25.554,22.76,19.536,18.876,15.7,13.341,0.493,52.05,46.36,39.79,38.45,31.98,27.17,1.0
Ponte Caldelas,Anceu (Santo André),3604301.0,38.37,23.332,21.887,19.405,18.866,16.324,14.207,0.071,60.81,57.04,50.57,49.17,42.54,37.03,0.19
Cotobade,Almofrei (San Lourenzo),3690202.0,29.894,22.234,21.258,19.362,18.858,16.466,14.567,0.268,74.37,71.11,64.77,63.08,55.08,48.73,0.9
Lalín,Cercio (Santiago),3602416.0,72.047,22.44,21.22,19.204,18.787,16.822,15.256,0.049,31.15,29.45,26.65,26.08,23.35,21.17,0.07
A Estrada,Orazo (San Pedro),3601731.0,92.591,28.493,24.213,19.513,18.648,15.069,12.719,0.016,30.77,26.15,21.07,20.14,16.28,13.74,0.02
Nigrán,A Ramallosa (San Pedro),3603507.0,82.748,33.292,27.097,19.845,18.648,13.637,10.653,0.33,40.23,32.75,23.98,22.54,16.48,12.87,0.4
O Porriño,O Porriño (Santa María),3603907.0,33.93,25.35,22.932,19.244,18.615,16.211,14.647,0.768,74.71,67.59,56.72,54.86,47.78,43.17,2.26
Redondela,Cabeiro (San Xoán),3604501.0,56.262,28.409,24.34,19.475,18.545,14.578,11.909,0.331,50.49,43.26,34.61,32.96,25.91,21.17,0.59
Mos,Dornelas (Santa María),3603302.0,58.847,27.24,23.212,19.3,18.538,15.32,13.064,0.467,46.29,39.44,32.8,31.5,26.03,22.2,0.79
Ponteareas,Fontenla (San Mamede),3604209.0,44.856,25.112,22.0,19.034,18.464,16.193,14.739,0.215,55.98,49.05,42.43,41.16,36.1,32.86,0.48
Moraña,Laxe (San Martiño),3603204.0,58.036,26.598,22.742,19.137,18.36,14.971,12.48,0.368,45.83,39.19,32.97,31.64,25.8,21.5,0.63
Cotobade,Viascón (Santiago),3690221.0,41.444,24.123,21.948,19.059,18.358,14.904,12.778,0.138,58.21,52.96,45.99,44.29,35.96,30.83,0.33
Forcarei,Pardesoa (Santiago),3601808.0,36.923,21.255,20.358,18.688,18.281,16.187,14.303,0.151,57.57,55.14,50.61,49.51,43.84,38.74,0.41
A Estrada,Santa Cristina de Vea (Santa Cristina),3601750.0,81.756,29.825,24.178,19.185,18.271,14.509,12.25,0.005,36.48,29.57,23.47,22.35,17.75,14.98,0.01
Tui,Paramos (San Xoán),3605506.0,44.648,25.04,21.769,18.779,18.201,15.612,13.809,0.693,56.08,48.76,42.06,40.77,34.97,30.93,1.55
Lalín,Lebozán (Santiago),3602428.0,52.628,25.524,23.163,18.972,18.198,15.06,12.392,0.165,48.5,44.01,36.05,34.58,28.62,23.55,0.31
Lalín,Vilanova (San Xoán),3602446.0,58.699,23.0,21.527,18.839,18.153,15.305,13.062,0.003,39.18,36.67,32.09,30.93,26.07,22.25,0.0
Pontecesures,Pontecesures (San Xulián),3604401.0,64.841,29.152,22.995,18.899,18.113,14.571,11.865,0.009,44.96,35.46,29.15,27.94,22.47,18.3,0.01
Vilagarcía de Arousa,Arealonga (Santa Baia),3606001.0,78.271,33.55,26.271,19.198,18.06,12.929,9.752,0.026,42.86,33.56,24.53,23.07,16.52,12.46,0.03
Valga,Campaña (Santa Cristina),3605601.0,66.26,27.51,21.803,18.562,17.945,14.96,12.395,0.009,41.52,32.91,28.01,27.08,22.58,18.71,0.01
Salceda de Caselas,San Xurxo de Salceda (San Xurxo),3604905.0,40.649,25.636,22.46,18.592,17.832,14.781,12.696,0.512,63.07,55.25,45.74,43.87,36.36,31.23,1.26
Lalín,Donsión (Santa Baia),3602420.0,63.852,22.344,20.597,18.183,17.684,15.325,13.394,0.019,34.99,32.26,28.48,27.7,24.0,20.98,0.03
Poio,Combarro (San Roque),3604101.0,38.942,24.511,21.398,18.246,17.614,14.772,13.087,0.405,62.94,54.95,46.85,45.23,37.93,33.61,1.04
Catoira,Oeste (Santa Baia),3601004.0,51.4,23.733,20.905,18.149,17.497,13.869,11.154,0.041,46.17,40.67,35.31,34.04,26.98,21.7,0.08
As Neves,Tortoreos (Santiago),3603412.0,72.791,37.231,24.793,18.597,17.448,13.171,10.72,0.132,51.15,34.06,25.55,23.97,18.09,14.73,0.18
Ponteareas,Cumiar (Santo Estevo),3604208.0,38.313,23.251,20.722,17.99,17.442,15.199,13.552,0.219,60.69,54.09,46.96,45.53,39.67,35.37,0.57
Barro,Valiñas (Santo André),3600206.0,47.105,25.431,19.916,17.784,17.365,15.401,13.92,0.178,53.99,42.28,37.75,36.87,32.7,29.55,0.38
Tomiño,Amorín (San Xoán),3605401.0,45.392,24.843,20.714,18.065,17.271,14.657,12.901,0.38,54.73,45.63,39.8,38.05,32.29,28.42,0.84
Caldas de Reis,Caldas de Reis (Santa María),3600502.0,62.91,29.462,21.446,17.916,17.217,14.24,11.91,0.188,46.83,34.09,28.48,27.37,22.64,18.93,0.3
Meis,San Lourenzo de Nogueira (San Lourenzo),3602804.0,54.06,26.448,20.236,17.641,17.212,15.303,13.769,0.676,48.92,37.43,32.63,31.84,28.31,25.47,1.25
Sanxenxo,Gondar (San Tomé),3605105.0,75.402,37.734,22.124,17.94,17.202,13.969,11.619,0.074,50.04,29.34,23.79,22.81,18.53,15.41,0.1
Ribadumia,Lois (San Fins),3604605.0,76.798,36.386,22.756,18.045,17.167,13.308,10.761,0.189,47.38,29.63,23.5,22.35,17.33,14.01,0.25
Barro,Curro (Santa María),3600203.0,53.491,25.373,20.47,17.683,17.126,14.604,12.9,1.671,47.43,38.27,33.06,32.02,27.3,24.12,3.12
Ponteareas,Prado (San Nicolao),3604222.0,39.868,23.882,21.054,17.745,17.089,14.176,12.306,0.118,59.9,52.81,44.51,42.86,35.56,30.87,0.3
As Neves,Batalláns (Santa Eulalia),3603402.0,41.761,24.27,21.376,17.7,17.027,14.45,12.58,0.392,58.12,51.19,42.38,40.77,34.6,30.12,0.94
Covelo,Godóns (Santa María),3601307.0,52.698,24.841,22.287,17.958,16.99,13.027,10.179,0.016,47.14,42.29,34.08,32.24,24.72,19.32,0.03
Moaña,Tirán (San Xoán),3602905.0,53.928,27.438,23.125,17.86,16.932,12.885,10.219,0.197,50.88,42.88,33.12,31.4,23.89,18.95,0.37
Ponteareas,San Lourenzo de Oliveira (San Lourenzo),3604216.0,33.941,21.991,19.906,17.428,16.914,14.885,13.348,0.391,64.79,58.65,51.35,49.83,43.85,39.33,1.15
Crecente,Angudes (San Xoán),3601403.0,22.912,18.8,18.114,17.134,16.902,15.641,14.435,0.568,82.05,79.06,74.78,73.77,68.26,63.0,2.48
Crecente,A Ameixeira (San Bernabeu),3601402.0,36.542,22.05,20.481,17.559,16.895,13.535,10.83,0.065,60.34,56.05,48.05,46.24,37.04,29.64,0.18
As Neves,San Cibrán de Ribarteme (San Cibrán),3603406.0,46.32,24.315,20.34,17.409,16.846,14.57,12.971,0.056,52.49,43.91,37.58,36.37,31.45,28.0,0.12
Redondela,Redondela (Santiago),3604508.0,57.384,28.39,23.468,17.842,16.82,12.457,9.938,0.199,49.47,40.9,31.09,29.31,21.71,17.32,0.35
Tomiño,Piñeiro (San Salvador),3605409.0,38.813,21.255,19.006,17.137,16.798,15.193,13.877,1.22,54.76,48.97,44.15,43.28,39.14,35.75,3.14
Caldas de Reis,Carracedo (Santa Mariña),3600504.0,75.52,27.852,20.926,17.365,16.715,13.645,11.536,0.018,36.88,27.71,22.99,22.13,18.07,15.28,0.02
Tui,Pazos de Reis (O Sagrario),3605507.0,42.751,23.803,20.949,17.371,16.62,13.33,10.922,0.827,55.68,49.0,40.63,38.88,31.18,25.55,1.93
A Estrada,San Xiao de Vea (San Xiao),3601749.0,64.223,24.485,21.093,17.351,16.591,13.32,11.132,0.056,38.13,32.84,27.02,25.83,20.74,17.33,0.09
A Estrada,Rubín (Santa María),3601740.0,88.152,25.929,22.464,17.491,16.539,12.535,10.203,0.008,29.41,25.48,19.84,18.76,14.22,11.57,0.01
A Estrada,Loimil (Santa María),3601725.0,69.687,25.05,21.666,17.346,16.531,13.157,11.14,0.038,35.95,31.09,24.89,23.72,18.88,15.99,0.06
Fornelos de Montes,Ventín (San Miguel),3601907.0,43.845,21.373,19.542,17.042,16.528,14.192,12.193,0.042,48.75,44.57,38.87,37.7,32.37,27.81,0.1
Forcarei,Aciveiro (Santa María),3601801.0,62.195,21.67,19.973,17.21,16.523,12.725,9.583,0.002,34.84,32.11,27.67,26.57,20.46,15.41,0.0
Salvaterra de Miño,Porto (San Paulo),3605013.0,54.366,33.099,19.84,16.965,16.483,14.402,13.018,0.32,60.88,36.49,31.2,30.32,26.49,23.94,0.59
A Estrada,Tabeirós (Santiago),3601745.0,66.462,23.05,20.702,17.024,16.299,13.409,11.536,0.153,34.68,31.15,25.61,24.52,20.18,17.36,0.23
Forcarei,Ventoxo (San Nicolao),3601813.0,37.331,19.855,18.609,16.72,16.294,13.977,11.709,0.011,53.19,49.85,44.79,43.65,37.44,31.37,0.03
Crecente,O Freixo (San Roque),3601406.0,24.715,19.078,18.184,16.622,16.292,14.821,13.64,1.149,77.19,73.57,67.25,65.92,59.97,55.19,4.65
A Estrada,Nigoi (Santa María),3601728.0,53.027,21.945,20.095,16.923,16.224,13.262,11.357,0.127,41.39,37.9,31.91,30.6,25.01,21.42,0.24
Campo Lameiro,O Couso (San Cristovo),3600702.0,54.526,22.99,20.343,16.838,16.158,13.381,11.539,0.162,42.16,37.31,30.88,29.63,24.54,21.16,0.3
Lalín,Maceira (San Martiño),3602431.0,74.324,22.137,19.583,16.658,16.037,13.228,11.284,0.0,29.78,26.35,22.41,21.58,17.8,15.18,0.0
Silleda,Cortegada (Santa María),3605208.0,72.36,24.474,20.457,16.673,15.983,13.305,11.598,0.0,33.82,28.27,23.04,22.09,18.39,16.03,0.0
Lalín,Prado (San Martiño),3602439.0,47.481,19.844,18.523,16.428,15.969,13.904,12.308,0.017,41.79,39.01,34.6,33.63,29.28,25.92,0.04
Cerdedo,Folgoso (Santa María),3690210.0,41.319,20.504,18.881,16.444,15.852,12.996,10.604,0.014,49.62,45.7,39.8,38.36,31.45,25.66,0.03
Arbo,Cequeliños (San Miguel),3600104.0,48.078,26.486,20.53,16.473,15.693,12.726,10.903,0.062,55.09,42.7,34.26,32.64,26.47,22.68,0.13
Silleda,Siador (San Miguel),3605229.0,54.698,21.021,19.549,16.36,15.665,12.953,11.082,0.056,38.43,35.74,29.91,28.64,23.68,20.26,0.1
Baiona,Baredo (Santa María),3600302.0,55.107,22.315,19.571,16.3,15.648,12.702,10.66,0.111,40.49,35.51,29.58,28.4,23.05,19.35,0.2
Fornelos de Montes,As Estacas (Santa María),3601902.0,37.778,19.756,18.144,16.02,15.545,13.426,11.615,0.133,52.29,48.03,42.41,41.15,35.54,30.75,0.35
Cuntis,Cequeril (Santa María),3601502.0,47.597,23.696,20.599,16.403,15.536,11.767,9.195,0.031,49.78,43.28,34.46,32.64,24.72,19.32,0.07
Crecente,Quintela (San Caetano),3601407.0,33.483,21.578,18.998,16.041,15.456,12.986,11.242,0.159,64.44,56.74,47.91,46.16,38.78,33.57,0.48
Lalín,Xaxán (Santa María da Saleta),3602426.0,53.289,20.019,18.277,15.85,15.402,13.247,12.008,0.024,37.57,34.3,29.74,28.9,24.86,22.53,0.04
Meis,San Tomé de Nogueira (San Tomé),3602806.0,42.847,24.504,18.164,15.791,15.325,13.098,11.394,0.594,57.19,42.39,36.85,35.77,30.57,26.59,1.39
Moraña,Amil (San Mamede),3603201.0,64.177,24.058,19.172,15.932,15.29,12.421,10.42,0.35,37.49,29.87,24.83,23.82,19.35,16.24,0.55
Sanxenxo,Bordóns (San Pedro),3605103.0,53.46,24.358,19.128,15.902,15.29,12.717,10.814,0.978,45.56,35.78,29.75,28.6,23.79,20.23,1.83
A Estrada,Toedo (San Pedro),3601746.0,58.909,21.217,18.787,15.858,15.27,12.913,11.442,0.01,36.02,31.89,26.92,25.92,21.92,19.42,0.02
Baiona,Baíña (Santa Mariña),3600301.0,38.861,20.32,18.253,15.752,15.212,12.599,10.543,0.278,52.29,46.97,40.53,39.14,32.42,27.13,0.72
Tomiño,Estás (Santiago),3605404.0,34.068,19.854,17.409,15.539,15.149,13.147,11.351,0.304,58.28,51.1,45.61,44.47,38.59,33.32,0.89
