OBJECTID_12,sp,prohibida,n_px,ha_faixa,estado,anho_evento,caida,etiqueta
86534,Eucalyptus_globulus,True,11157,10.169,persistente,,0.034,ifn_2010
86535,Pinus_pinaster,True,368,0.021,persistente,,0.033,ifn_2010
86536,Pinus_pinaster,True,3668,2.573,persistente,,0.038,ifn_2010
86537,Pinus_radiata,True,333,0.0,evento,2024.0,0.261,desconocida
86538,Pinus_pinaster,True,2185,9.955,persistente,,0.074,ifn_2010
86539,Pinus_pinaster,True,313,1.622,persistente,,0.102,ifn_2010
86540,Eucalyptus_globulus,True,1291,2.111,persistente,,0.011,ifn_2010
86541,Pinus_pinaster,True,7526,14.16,persistente,,0.03,ifn_2010
86542,Pinus_pinaster,True,8451,0.0,persistente,,0.018,ifn_2010
86543,Salix_spp,False,1912,0.0,persistente,,0.019,ifn_2010
86544,Eucalyptus_globulus,True,13819,7.451,persistente,,0.019,ifn_2010
86545,Quercus_robur,False,2009,0.0,persistente,,0.019,ifn_2010
86546,Quercus_robur,False,1764,0.0,persistente,,0.043,ifn_2010
86547,Eucalyptus_globulus,True,8731,14.104,persistente,,0.013,ifn_2010
86548,Pinus_pinaster,True,368,0.0,persistente,,0.036,ifn_2010
86549,Quercus_robur,False,8947,2.912,persistente,,0.018,ifn_2010
86550,Eucalyptus_globulus,True,462,1.172,persistente,,0.032,ifn_2010
86551,Eucalyptus_globulus,True,251,1.097,persistente,,0.078,ifn_2010
86552,Eucalyptus_globulus,True,2008,0.425,persistente,,0.029,ifn_2010
86553,Quercus_robur,False,886,0.0,persistente,,0.01,ifn_2010
86554,Pinus_pinaster,True,151,0.148,evento,2025.0,0.215,desconocida
86555,Eucalyptus_globulus,True,5875,3.107,persistente,,0.007,ifn_2010
86556,Pinus_pinaster,True,1980,0.0,persistente,,0.036,ifn_2010
86557,Eucalyptus_globulus,True,5037,0.0,persistente,,0.137,ifn_2010
86558,Eucalyptus_globulus,True,718,0.0,persistente,,0.11,ifn_2010
86559,Eucalyptus_globulus,True,3763,0.189,persistente,,0.071,ifn_2010
86560,Eucalyptus_globulus,True,189,0.0,evento,2025.0,0.316,prohibida_rebrote
86561,Eucalyptus_globulus,True,706,0.0,evento,2025.0,0.265,prohibida_rebrote
86562,Eucalyptus_globulus,True,1385,1.645,persistente,,0.03,ifn_2010
86563,Eucalyptus_globulus,True,674,0.0,persistente,,0.044,ifn_2010
