puesto,concello,parroquia,ha_medida,ha_arbolado,ha_sobre_35m,ha_prohibida_min,ha_prohibida_max,ha_prohibida_punto_medio
39,Cangas,Darbo (Santa María),125.878,47.244,1.871,18.8,35.4,27.1
40,Marín,San Tomé de Piñeiro (San Tomé),98.419,40.617,3.959,22.4,31.5,27.0
41,Vilanova de Arousa,Baión (San Xoán),170.852,48.408,1.313,18.6,35.5,27.0
42,Cotobade,Tenorio (San Pedro),85.044,46.353,0.554,20.9,32.8,26.8
43,A Cañiza,Parada das Achas (Santiago),156.869,76.245,0.484,16.8,36.6,26.7
44,Salceda de Caselas,Entenza (Santos Xusto e Pastor),96.616,43.386,2.27,20.2,32.5,26.4
45,O Porriño,Torneiros (San Salvador),90.737,40.818,2.503,20.1,32.5,26.3
46,Valga,Valga (San Miguel),109.211,39.01,0.289,23.5,29.0,26.2
47,A Cañiza,As Achas (San Sebastián),137.711,45.913,0.255,17.6,34.0,25.8
48,Crecente,Albeos (San Xoán),141.253,48.553,0.406,19.4,31.3,25.4
49,A Cañiza,Oroso (Santa María),131.706,46.666,0.038,19.7,30.4,25.0
50,Salceda de Caselas,Soutelo (San Vicente),70.253,34.29,2.057,21.0,28.8,24.9
51,Salceda de Caselas,Santa María de Salceda (Santa María),116.824,41.015,2.072,17.4,32.1,24.8
52,Moraña,Santa Xusta de Moraña (Santa Xusta),96.115,41.336,1.044,18.7,30.5,24.6
53,Ponteareas,Xinzo (Santa Mariña),102.349,39.499,1.315,18.6,30.7,24.6
54,Mos,Petelos (San Mamede),84.694,37.832,0.521,20.4,28.9,24.6
55,O Porriño,Mosende (San Xurxo),80.976,38.603,3.104,18.7,29.9,24.3
56,Cangas,Aldán (San Cibrán),122.267,44.699,0.965,17.3,31.2,24.2
57,A Cañiza,O Couto (San Bartolomeu),103.21,46.157,1.148,17.9,30.6,24.2
58,Mos,Tameiga (San Martiño),119.019,44.132,1.558,15.3,32.9,24.1
59,Ponteareas,Padróns (San Salvador),142.077,50.159,0.549,19.6,28.6,24.1
60,A Estrada,San Miguel de Castro (San Miguel),99.581,36.843,0.345,20.3,27.6,24.0
61,Marín,Marín (San Xián),121.817,38.426,1.733,18.1,29.6,23.8
62,Valga,Xanza (Santa María),118.099,34.554,0.506,21.4,26.3,23.8
63,Tui,Pexegueiro (San Miguel),89.352,33.207,1.273,19.4,27.7,23.5
64,Mondariz,Mondariz (Santa Baia),115.374,55.87,0.66,20.7,25.8,23.2
65,Ponteareas,Arcos (San Breixo),70.019,37.493,0.174,17.8,27.8,22.8
66,Salceda de Caselas,Parderrubias (San Tomé),101.106,34.932,2.012,18.2,27.2,22.7
67,Moaña,Domaio (San Pedro),106.666,45.198,1.404,13.1,32.2,22.7
68,Crecente,Crecente (San Pedro),77.113,43.499,1.141,17.9,27.3,22.6
69,Ponte Caldelas,Ponte Caldelas (Santa Eulalia),157.424,49.471,0.299,19.1,26.2,22.6
70,Vilagarcía de Arousa,Sobrán (San Martiño de Fóra),168.037,37.336,0.555,15.6,29.5,22.6
71,Ponteareas,San Mateo de Oliveira (San Mateo),105.416,38.774,0.177,16.6,28.5,22.6
72,A Guarda,Camposancos (Santa Isabel),91.939,32.99,0.492,17.6,26.7,22.2
73,Ponteareas,Nogueira (San Salvador),65.541,32.641,0.94,17.5,26.3,21.9
74,Portas,Romai (San Xián),131.614,33.922,0.315,17.5,25.9,21.7
75,Ponteareas,Guillade (San Miguel),98.845,36.398,0.66,15.5,27.4,21.4
76,Moaña,Moaña (Virxe do Carme),96.021,40.179,1.326,14.2,28.7,21.4
77,Tomiño,Goián (San Cristovo),93.458,38.289,0.316,15.6,26.9,21.2
78,As Neves,Taboexa (Santa María),98.596,36.12,0.81,14.9,27.4,21.2
79,Salvaterra de Miño,Oleiros (Santa María),57.687,33.767,1.5,17.2,25.2,21.2
80,Caldas de Reis,Saiar (Santo Estevo),139.95,38.304,0.232,14.2,27.7,21.0
81,Gondomar,Mañufe (San Vicente),120.639,37.869,1.021,15.2,26.7,21.0
82,Meis,Paradela (Santa María),96.898,38.587,1.318,15.0,27.0,21.0
83,Cotobade,Sacos (San Xurxo),81.334,38.623,0.427,16.1,26.0,21.0
84,Marín,Ardán (Santa María),103.206,36.323,1.682,15.3,26.2,20.8
85,Gondomar,Vincios (Santa Mariña),106.848,34.155,0.828,14.6,25.8,20.2
86,Redondela,Chapela (San Fausto),95.343,39.212,0.325,14.0,25.9,20.0
87,Redondela,O Viso (Santa María),154.916,39.801,0.449,10.5,29.3,19.9
88,Caldas de Reis,Santo André de Cesar (Santo André),93.845,37.304,0.628,15.0,24.1,19.6
89,Sanxenxo,Dorrón (San Xoán),94.553,30.098,0.822,14.9,24.4,19.6
90,Caldas de Reis,Bemil (Santa María),128.288,33.655,1.053,14.0,25.1,19.6
91,Ponteareas,Oliveira (Santiago),71.274,32.265,0.525,16.3,22.9,19.6
92,Caldas de Reis,Godos (Santa María),111.06,31.74,0.583,14.5,24.7,19.6
93,Meis,Meis (San Salvador),88.656,28.014,0.516,16.1,22.6,19.4
94,Barro,Barro (San Breixo),71.683,32.985,1.054,16.0,22.6,19.3
95,Vilaboa,Santa Cristina de Cobres (Santa Cristina),82.704,33.64,0.882,17.2,21.3,19.2
96,O Porriño,Cans (Santo Estevo),45.61,27.537,2.406,15.4,22.8,19.1
97,Ponte Caldelas,Tourón (Santa María),124.274,35.354,0.281,12.8,25.1,19.0
98,Salvaterra de Miño,Meder (Santo Adrián),114.792,33.518,0.49,13.4,24.7,19.0
99,Salvaterra de Miño,Cabreira (San Miguel),77.486,36.403,2.463,14.0,24.0,19.0
100,Mos,Sanguiñeda (Santa María),84.508,33.661,0.472,13.6,24.2,18.9
101,Ponteareas,Fozara (San Bartolomeu),73.07,30.525,0.234,16.8,20.7,18.8
102,Tomiño,Sobrada (San Salvador),45.674,25.534,1.556,16.0,21.5,18.8
