puesto,concello,parroquia,ha_medida,ha_arbolado,ha_sobre_35m,ha_prohibida_min,ha_prohibida_max,ha_prohibida_punto_medio
103,Mondariz,Lougares (San Fiz),85.884,49.192,0.538,16.6,20.9,18.8
104,Meis,Nogueira (San Vicente),83.548,29.395,1.019,14.6,22.7,18.6
105,Vilaboa,Cobres (Santo Adrán),91.692,31.027,1.988,15.3,21.7,18.5
106,Mondariz,Riofrío (San Miguel),89.853,40.794,0.257,16.5,20.5,18.5
107,Catoira,Dimo (San Pedro),107.494,33.678,0.101,12.7,24.2,18.4
108,Vilagarcía de Arousa,Bamio (San Xens),107.124,32.148,0.162,12.1,24.6,18.4
109,Redondela,Vilar de Infesta (San Martiño),106.026,33.362,1.451,16.4,20.5,18.4
110,Cangas,Coiro (San Salvador),150.68,44.283,0.595,7.7,28.4,18.0
111,A Cañiza,Petán (San Xián),123.143,45.186,0.236,11.6,24.3,18.0
112,A Estrada,Berres (San Vicenzo),107.056,40.346,0.373,11.4,24.4,17.9
113,Covelo,Barcia de Mera (San Martiño),102.208,52.666,0.577,15.4,20.2,17.8
114,Redondela,Cesantes (San Pedro),164.911,36.755,0.369,9.5,26.1,17.8
115,Ponteareas,Pías (Santa Mariña),99.915,33.903,0.276,15.8,19.9,17.8
116,Moraña,Rebón (San Pedro),86.44,28.73,0.335,13.6,21.8,17.7
117,Redondela,Reboreda (Santa María),167.225,35.25,0.908,8.9,26.3,17.6
118,Cuntis,Troáns (Santa María),120.558,31.095,0.345,12.4,22.6,17.5
119,Salvaterra de Miño,Arantei (San Pedro),71.752,29.305,0.864,13.6,21.4,17.5
120,Crecente,Rebordechán (Santa María),48.428,33.548,0.753,13.3,21.7,17.5
121,Salvaterra de Miño,Lira (San Simón),68.698,35.147,0.435,12.7,22.2,17.4
122,Mondariz,Toutón (San Mateo),88.776,41.086,0.646,15.6,19.1,17.4
123,Campo Lameiro,O Campo (San Miguel),79.006,30.925,0.487,12.4,22.3,17.4
124,A Guarda,Salcidos (San Lourenzo),119.692,31.765,0.59,11.9,22.9,17.4
125,Mondariz,Vilar (San Mamede),57.269,28.61,0.122,15.7,19.1,17.4
126,Ponteareas,Ponteareas (San Miguel),91.011,31.351,0.321,12.3,22.3,17.3
127,A Estrada,Guimarei (San Xiao),132.814,34.409,0.982,12.6,22.0,17.3
128,Cotobade,Aguasantas (Santa María),77.431,45.083,0.701,15.4,19.0,17.2
129,Salvaterra de Miño,Fiolledo (San Paio),44.531,26.558,0.733,14.3,19.8,17.0
130,Barro,Perdecanai (Santa María),69.754,29.188,1.199,12.3,21.3,16.8
131,Tui,Randufe (Santa María da Guía),88.898,26.804,1.008,12.4,21.2,16.8
132,Campo Lameiro,Fragas (Santa Mariña),97.475,30.63,0.835,10.3,22.9,16.6
133,Mondariz,Mouriscados (San Cibrán),65.141,30.764,1.069,14.6,18.2,16.4
134,Crecente,Ribeira (Santa Mariña),58.441,31.356,0.275,13.1,19.7,16.4
135,Tui,Malvas (Santiago),69.044,25.559,0.634,12.1,20.6,16.4
136,Meaño,Xil (Santa Eulalia),104.381,24.527,1.161,13.2,19.6,16.4
137,Cambados,Castrelo (Santa Cruz),225.229,26.169,0.217,11.8,20.8,16.3
138,Vilanova de Arousa,Tremoedo (Santo Estevo),138.457,25.367,0.176,12.5,19.7,16.1
