concello,parroquia,codparro,ha_medida,ha_sobre_2m,ha_sobre_3m,ha_sobre_5m,ha_sobre_5.5m,ha_sobre_8m,ha_sobre_10m,ha_sobre_35m,pct_sobre_2m,pct_sobre_3m,pct_sobre_5m,pct_sobre_5.5m,pct_sobre_8m,pct_sobre_10m,pct_sobre_35m
Covelo,Godóns (Santa María),3601307.0,52.698,24.841,22.287,17.958,16.99,13.027,10.179,0.016,47.14,42.29,34.08,32.24,24.72,19.32,0.03
Crecente,Angudes (San Xoán),3601403.0,22.912,18.8,18.114,17.134,16.902,15.641,14.435,0.568,82.05,79.06,74.78,73.77,68.26,63.0,2.48
Crecente,A Ameixeira (San Bernabeu),3601402.0,36.542,22.05,20.481,17.559,16.895,13.535,10.83,0.065,60.34,56.05,48.05,46.24,37.04,29.64,0.18
Crecente,O Freixo (San Roque),3601406.0,24.715,19.078,18.184,16.622,16.292,14.821,13.64,1.149,77.19,73.57,67.25,65.92,59.97,55.19,4.65
Arbo,Cequeliños (San Miguel),3600104.0,48.078,26.486,20.53,16.473,15.693,12.726,10.903,0.062,55.09,42.7,34.26,32.64,26.47,22.68,0.13
Crecente,Quintela (San Caetano),3601407.0,33.483,21.578,18.998,16.041,15.456,12.986,11.242,0.159,64.44,56.74,47.91,46.16,38.78,33.57,0.48
Arbo,Sela (Santa María),3600106.0,46.739,27.409,19.635,15.466,14.76,11.821,9.964,0.047,58.64,42.01,33.09,31.58,25.29,21.32,0.1
Arbo,Barcela (San Xoán),3600102.0,59.598,33.396,18.43,14.641,14.047,12.013,10.939,0.186,56.03,30.92,24.57,23.57,20.16,18.35,0.31
Crecente,Sendelle (Santa Cruz),3601410.0,20.606,16.207,15.408,14.149,13.875,12.692,11.662,0.221,78.65,74.77,68.66,67.33,61.59,56.6,1.07
Covelo,Paraños (Santa María),3601311.0,39.938,18.926,17.062,14.152,13.521,11.033,9.342,0.038,47.39,42.72,35.44,33.85,27.62,23.39,0.1
Covelo,A Graña (San Bernabeu),3601308.0,39.139,19.221,17.423,13.658,12.642,9.284,7.263,0.002,49.11,44.52,34.9,32.3,23.72,18.56,0.0
Arbo,Cabeiras (San Sebastián),3600103.0,45.373,25.252,15.758,12.797,12.276,10.178,8.608,0.065,55.65,34.73,28.2,27.06,22.43,18.97,0.14
Covelo,A Lamosa (San Bartolomeu),3601309.0,28.014,16.585,15.08,12.536,11.946,9.076,6.806,0.044,59.2,53.83,44.75,42.64,32.4,24.3,0.16
A Cañiza,A Franqueira (Santa María),3600904.0,37.028,15.683,14.064,11.436,10.843,8.22,6.409,0.116,42.35,37.98,30.88,29.28,22.2,17.31,0.31
Covelo,Campo (Santa María),3601302.0,31.199,13.316,11.803,9.63,9.2,7.273,5.634,0.004,42.68,37.83,30.87,29.49,23.31,18.06,0.01
Covelo,Prado (San Salvador),3601313.0,35.542,14.287,12.166,9.677,9.181,7.02,5.444,0.0,40.2,34.23,27.23,25.83,19.75,15.32,0.0
Covelo,O Piñeiro (San Xoán),3601312.0,25.587,10.76,9.462,7.905,7.631,6.539,5.825,0.016,42.05,36.98,30.89,29.82,25.56,22.77,0.06
Covelo,Prado de Canda (Santiago),3601314.0,14.427,7.878,7.26,5.854,5.496,3.828,2.662,0.0,54.6,50.32,40.58,38.1,26.53,18.45,0.0
Covelo,Fofe (San Miguel),3601306.0,13.918,8.292,7.211,5.693,5.367,3.976,3.118,0.017,59.58,51.81,40.9,38.56,28.57,22.4,0.12
