OBJECTID_12,sp,prohibida,n_px,ha_faixa,estado,anho_evento,caida,etiqueta
10869,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10873,Pinus_pinaster,True,31137,0.0,persistente,,0.009,ifn_2010
10877,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10878,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10879,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10880,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10881,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10882,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10883,Eucalyptus_globulus,True,18697,0.0,persistente,,0.023,ifn_2010
10884,Pinus_radiata,True,1070,0.0,persistente,,0.131,ifn_2010
10885,Pinus_radiata,True,136,0.0,persistente,,0.026,ifn_2010
10886,Eucalyptus_globulus,True,813,0.0,persistente,,0.114,ifn_2010
10887,Eucalyptus_globulus,True,478,0.0,persistente,,0.042,ifn_2010
10893,Pinus_pinaster,True,5208,0.0,persistente,,0.106,ifn_2010
10894,Pinus_pinaster,True,5038,0.0,persistente,,0.047,ifn_2010
10905,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10906,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10907,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10908,Pinus_radiata,True,0,0.0,sin_dato,,,sin_serie
10913,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10922,Eucalyptus_globulus,True,1512,0.0,evento,2025.0,0.334,prohibida_rebrote
10923,Eucalyptus_globulus,True,949,0.0,persistente,,0.121,ifn_2010
10924,Eucalyptus_globulus,True,842,0.0,persistente,,0.034,ifn_2010
10925,Pinus_pinaster,True,2077,0.0,persistente,,0.017,ifn_2010
10926,Castanea_sativa,False,428,0.0,persistente,,0.036,ifn_2010
10927,Eucalyptus_globulus,True,385,0.0,persistente,,0.062,ifn_2010
10928,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10929,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10930,Pinus_pinaster,True,2892,0.296,persistente,,0.089,ifn_2010
10931,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10932,Pinus_pinaster,True,12667,0.045,persistente,,0.04,ifn_2010
10933,Pinus_pinaster,True,343,0.0,evento,2019.0,0.417,desconocida
10934,Pinus_pinaster,True,8712,0.0,persistente,,0.031,ifn_2010
10935,Pinus_pinaster,True,7076,0.0,persistente,,0.03,ifn_2010
10936,Eucalyptus_globulus,True,569,0.0,persistente,,0.133,ifn_2010
10937,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10938,Pinus_pinaster,True,24139,0.0,persistente,,0.036,ifn_2010
10939,Pinus_pinaster,True,2611,0.0,persistente,,0.04,ifn_2010
10940,Pinus_pinaster,True,9017,0.0,persistente,,0.037,ifn_2010
10941,Pinus_pinaster,True,8402,0.0,persistente,,0.014,ifn_2010
10942,Quercus_robur,False,10983,0.0,persistente,,0.018,ifn_2010
10943,Pinus_pinaster,True,1748,0.0,persistente,,0.019,ifn_2010
10945,Eucalyptus_globulus,True,4876,0.0,persistente,,0.016,ifn_2010
10946,Pinus_pinaster,True,473,0.0,persistente,,0.051,ifn_2010
10947,Pinus_pinaster,True,91,0.0,persistente,,0.03,ifn_2010
10948,Pinus_pinaster,True,271,0.0,persistente,,0.187,ifn_2010
10949,Quercus_robur,False,311,0.0,persistente,,0.17,ifn_2010
10950,Pinus_pinaster,True,6330,0.0,persistente,,0.012,ifn_2010
10951,Pinus_pinaster,True,129,0.0,persistente,,0.103,ifn_2010
10952,Pinus_pinaster,True,843,0.0,persistente,,0.037,ifn_2010
10953,Pinus_pinaster,True,288,0.0,persistente,,0.013,ifn_2010
10954,Pinus_pinaster,True,138,0.0,persistente,,0.077,ifn_2010
10955,Pinus_pinaster,True,529,0.0,persistente,,0.033,ifn_2010
10956,Pinus_pinaster,True,109,0.0,persistente,,0.082,ifn_2010
10957,Pinus_pinaster,True,157,0.0,persistente,,0.043,ifn_2010
10958,Pinus_pinaster,True,171,0.0,persistente,,0.135,ifn_2010
10959,Quercus_robur,False,181,0.0,persistente,,0.109,ifn_2010
10960,Pinus_pinaster,True,806,0.0,persistente,,0.104,ifn_2010
10961,Eucalyptus_globulus,True,1343,0.0,persistente,,0.112,ifn_2010
10962,Pinus_radiata,True,448,0.0,persistente,,0.274,ifn_2010
10963,Pinus_radiata,True,206,0.0,persistente,,0.17,ifn_2010
10964,Quercus_robur,False,1910,0.0,persistente,,0.021,ifn_2010
10965,Quercus_robur,False,223,0.0,persistente,,0.056,ifn_2010
10966,Pinus_pinaster,True,499,0.0,persistente,,0.119,ifn_2010
10967,Pinus_pinaster,True,2070,0.0,persistente,,0.021,ifn_2010
10968,Pinus_pinaster,True,173,0.0,persistente,,0.066,ifn_2010
10969,Pinus_pinaster,True,811,0.0,persistente,,0.143,ifn_2010
10970,Eucalyptus_globulus,True,17787,0.0,persistente,,0.022,ifn_2010
10971,Eucalyptus_globulus,True,556,0.0,persistente,,0.08,ifn_2010
10972,Pinus_pinaster,True,7120,0.0,persistente,,0.032,ifn_2010
10973,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10974,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10975,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10976,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10977,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10978,Pinus_pinaster,True,0,0.0,sin_dato,,,sin_serie
10979,Quercus_robur,False,279,0.0,persistente,,0.077,ifn_2010
10980,Quercus_robur,False,56,0.0,persistente,,0.136,ifn_2010
10991,Eucalyptus_globulus,True,2235,0.0,persistente,,0.094,ifn_2010
10992,Eucalyptus_globulus,True,1268,0.0,persistente,,0.142,ifn_2010
10993,Quercus_robur,False,3071,0.0,persistente,,0.052,ifn_2010
10994,Quercus_robur,False,318,0.0,persistente,,0.048,ifn_2010
10995,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10996,Pinus_pinaster,True,15442,0.0,persistente,,0.026,ifn_2010
10997,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10998,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
10999,Eucalyptus_globulus,True,11782,0.0,persistente,,0.036,ifn_2010
11000,Eucalyptus_globulus,True,5192,0.0,persistente,,0.039,ifn_2010
11001,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
11002,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
11003,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
11004,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
11005,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
11010,Eucalyptus_globulus,True,2326,0.0,persistente,,0.077,ifn_2010
11011,Pinus_radiata,True,0,0.0,sin_dato,,,sin_serie
11013,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
11014,Eucalyptus_globulus,True,3119,0.0,persistente,,0.104,ifn_2010
11020,Eucalyptus_globulus,True,0,0.0,sin_dato,,,sin_serie
11021,Pinus_pinaster,True,368,0.0,persistente,,0.053,ifn_2010
