concello,parroquia,ha_faixa,ha_arbolado,ha_en_rodal,ha_prohibida,ha_dispersa,ha_prohibida_hi,pct_arbolado,pct_prohibida_lo,pct_prohibida_hi
Mondariz,Riofrío (San Miguel),89.853,40.794,28.418,20.164,12.377,29.105,45.4,22.44,32.39
Valga,Valga (San Miguel),109.211,39.01,22.141,19.923,16.869,32.109,35.72,18.24,29.4
Salvaterra de Miño,Fiolledo (San Paio),44.531,26.558,23.018,19.898,3.54,22.455,59.64,44.68,50.43
Caldas de Reis,Saiar (Santo Estevo),139.95,38.304,22.901,19.751,15.403,30.878,27.37,14.11,22.06
Cotobade,Aguasantas (Santa María),77.431,45.083,36.263,19.692,8.82,26.063,58.22,25.43,33.66
Moaña,Moaña (Virxe do Carme),96.021,40.179,23.191,19.687,16.987,31.958,41.84,20.5,33.28
Vilaboa,Santa Cristina de Cobres (Santa Cristina),82.704,33.64,21.296,19.579,12.344,28.497,40.67,23.67,34.46
Caldas de Reis,Bemil (Santa María),127.935,33.655,21.729,19.488,11.926,28.103,26.31,15.23,21.97
Caldas de Reis,Godos (Santa María),111.06,31.74,20.529,19.446,11.211,27.545,28.58,17.51,24.8
Salvaterra de Miño,Cabreira (San Miguel),77.486,36.403,26.057,19.43,10.346,26.903,46.98,25.07,34.72
Redondela,Chapela (San Fausto),95.343,39.212,25.972,19.397,13.24,28.962,41.13,20.34,30.38
Moraña,Rebón (San Pedro),86.44,28.73,20.927,18.949,7.803,24.586,33.24,21.92,28.44
Mos,Sanguiñeda (Santa María),84.508,33.661,22.294,18.922,11.367,27.133,39.83,22.39,32.11
Mondariz,Sabaxáns (San Mamede),99.1,49.873,34.648,18.889,15.226,29.888,50.33,19.06,30.16
Salvaterra de Miño,Arantei (San Pedro),71.75,29.305,21.935,18.858,7.37,24.182,40.84,26.28,33.7
Salvaterra de Miño,Meder (Santo Adrián),114.792,33.518,20.947,18.553,12.572,27.635,29.2,16.16,24.07
Crecente,Rebordechán (Santa María),48.428,33.548,25.449,18.543,8.099,24.394,69.27,38.29,50.37
Tomiño,San Salvador de Tebra (San Salvador),38.829,22.296,19.392,18.381,2.904,20.479,57.42,47.34,52.74
Meaño,Xil (Santa Eulalia),104.381,24.527,19.317,18.374,5.21,22.138,23.5,17.6,21.21
Ponteareas,Oliveira (Santiago),71.274,32.265,21.312,18.285,10.952,26.197,45.27,25.65,36.76
Vilaboa,Cobres (Santo Adrán),91.692,31.027,18.793,18.265,12.233,27.102,33.84,19.92,29.56
Moaña,Domaio (San Pedro),106.666,45.198,21.211,18.26,23.987,35.588,42.37,17.12,33.36
Crecente,Ribeira (Santa Mariña),58.441,31.356,25.732,18.249,5.623,22.311,53.65,31.23,38.18
Valga,Xanza (Santa María),118.036,34.554,22.316,17.996,12.238,26.837,29.27,15.25,22.74
