concello,parroquia,ha_faixa,ha_arbolado,ha_en_rodal,ha_prohibida,ha_dispersa,ha_prohibida_hi,pct_arbolado,pct_prohibida_lo,pct_prohibida_hi
A Cañiza,A Cañiza (Santa Teresa),122.189,52.348,33.947,27.807,18.402,41.101,42.84,22.76,33.64
Sanxenxo,Noalla (Santo Estevo),250.17,48.759,28.086,27.664,20.673,42.598,19.49,11.06,17.03
A Cañiza,Oroso (Santa María),131.706,46.666,37.098,27.437,9.568,34.349,35.43,20.83,26.08
Redondela,Cedeira (Santo André),148.244,51.397,30.526,27.395,20.871,41.452,34.67,18.48,27.96
Tui,Pexegueiro (San Miguel),89.352,33.207,27.083,26.979,6.124,31.403,37.16,30.19,35.15
Crecente,Albeos (San Xoán),141.22,48.553,37.07,26.915,11.483,35.211,34.38,19.06,24.93
Cangas,Darbo (Santa María),125.878,47.244,28.793,26.164,18.451,39.494,37.53,20.79,31.37
Moraña,Santa Xusta de Moraña (Santa Xusta),96.115,41.336,29.734,25.949,11.602,34.33,43.01,27.0,35.72
O Porriño,Mosende (San Xurxo),80.974,38.603,27.835,25.937,10.767,33.716,47.67,32.03,41.64
Vilanova de Arousa,Baión (San Xoán),170.56,48.408,29.496,25.916,18.913,39.579,28.38,15.19,23.21
Ponteareas,Xinzo (Santa Mariña),102.349,39.499,27.47,25.877,12.029,34.567,38.59,25.28,33.77
Mondariz,Mondariz (Santa Baia),115.374,55.87,38.568,28.753,17.302,29.558,48.42,24.92,25.62
Ponteareas,Padróns (San Salvador),142.077,50.159,32.047,27.244,18.111,32.41,35.3,19.18,22.81
Marín,Marín (San Xián),121.817,38.426,27.18,25.151,11.246,33.274,31.54,20.65,27.31
Crecente,Crecente (San Pedro),77.113,43.499,35.333,24.934,8.166,30.832,56.41,32.33,39.98
A Cañiza,O Couto (San Bartolomeu),103.21,46.157,33.097,24.93,13.06,34.365,44.72,24.15,33.3
A Cañiza,As Achas (San Sebastián),137.711,45.913,27.293,24.516,18.62,37.967,33.34,17.8,27.57
A Guarda,Camposancos (Santa Isabel),91.856,32.99,25.114,24.467,7.876,30.157,35.91,26.64,32.83
Ponteareas,Nogueira (San Salvador),65.541,32.641,25.258,24.36,7.383,29.694,49.8,37.17,45.31
Salceda de Caselas,Santa María de Salceda (Santa María),116.824,41.015,24.871,24.235,16.144,35.897,35.11,20.74,30.73
Ponteareas,Arcos (San Breixo),70.019,37.493,27.44,24.695,10.053,31.414,53.55,35.27,44.86
Cangas,Aldán (San Cibrán),122.267,44.699,29.6,24.0,15.098,34.907,36.56,19.63,28.55
Salvaterra de Miño,Oleiros (Santa María),57.687,33.767,27.37,23.938,6.397,28.559,58.53,41.5,49.51
Salceda de Caselas,Parderrubias (San Tomé),101.106,34.932,25.485,25.296,9.448,30.735,34.55,25.02,30.4
A Cañiza,Parada das Achas (Santiago),156.856,76.245,52.339,23.351,23.906,40.612,48.61,14.89,25.89
Ponteareas,San Mateo de Oliveira (San Mateo),105.416,38.774,26.401,23.026,12.372,31.964,36.78,21.84,30.32
Mos,Petelos (San Mamede),84.694,37.832,25.08,28.39,12.752,32.826,44.67,33.52,38.76
Meis,Meis (San Salvador),88.656,28.014,23.446,22.402,4.568,25.702,31.6,25.27,28.99
Ponte Caldelas,Ponte Caldelas (Santa Eulalia),157.424,49.471,30.379,26.52,19.092,29.884,31.43,16.85,18.98
Tomiño,Sobrada (San Salvador),45.674,25.534,22.49,22.245,3.043,24.444,55.9,48.7,53.52
Cotobade,Sacos (San Xurxo),81.334,38.623,28.882,22.317,9.741,29.228,47.49,27.44,35.94
Vilagarcía de Arousa,Sobrán (San Martiño de Fóra),166.841,37.336,21.814,21.709,15.522,32.922,22.38,13.01,19.73
Mondariz,Toutón (San Mateo),88.776,41.086,31.998,21.7,9.088,21.85,46.28,24.44,24.61
Tomiño,Goián (San Cristovo),93.458,38.289,26.48,21.682,11.809,30.213,40.97,23.2,32.33
O Porriño,Cans (Santo Estevo),45.61,27.537,21.376,21.376,6.161,25.827,60.37,46.87,56.63
Mondariz,Lougares (San Fiz),85.884,49.192,32.916,23.117,16.276,23.989,57.28,26.92,27.93
Marín,Ardán (Santa María),103.206,36.323,24.991,21.273,11.333,29.46,35.19,20.61,28.54
Mos,Tameiga (San Martiño),118.959,44.132,22.97,21.217,21.162,36.483,37.1,17.84,30.67
Ponteareas,Fozara (San Bartolomeu),73.07,30.525,23.597,23.297,6.928,23.734,41.77,31.88,32.48
Gondomar,Mañufe (San Vicente),120.639,37.869,25.58,21.076,12.289,29.954,31.39,17.47,24.83
Mondariz,Vilar (San Mamede),57.269,28.61,25.576,21.835,3.033,21.956,49.96,38.13,38.34
Barro,Barro (San Breixo),71.663,32.985,26.958,22.175,6.027,25.618,46.03,30.94,35.75
Caldas de Reis,Santo André de Cesar (Santo André),93.716,37.304,28.503,20.799,8.801,27.157,39.81,22.19,28.98
Meis,Paradela (Santa María),96.898,38.587,25.544,20.794,13.042,30.216,39.82,21.46,31.18
As Neves,Taboexa (Santa María),98.596,36.12,22.462,20.77,13.658,30.637,36.63,21.07,31.07
Sanxenxo,Dorrón (San Xoán),94.553,30.098,20.875,20.767,9.223,27.43,31.83,21.96,29.01
Ponteareas,Guillade (San Miguel),98.845,36.398,21.781,21.506,14.617,30.725,36.82,21.76,31.08
Meis,Nogueira (San Vicente),83.531,29.395,22.136,20.334,7.259,25.578,35.19,24.34,30.62
Gondomar,Vincios (Santa Mariña),106.848,34.155,22.15,20.291,12.005,28.963,31.97,18.99,27.11
Covelo,Barcia de Mera (San Martiño),102.208,52.666,35.488,21.387,17.178,23.088,51.53,20.93,22.59
Mondariz,Riofrío (San Miguel),89.853,40.794,28.418,22.958,12.377,23.473,45.4,25.55,26.12
Valga,Valga (San Miguel),109.211,39.01,22.141,32.598,16.869,33.312,35.72,29.85,30.5
Salvaterra de Miño,Fiolledo (San Paio),44.531,26.558,23.018,19.898,3.54,22.455,59.64,44.68,50.43
Caldas de Reis,Saiar (Santo Estevo),139.95,38.304,22.901,19.751,15.403,30.878,27.37,14.11,22.06
Cotobade,Aguasantas (Santa María),77.431,45.083,36.263,21.337,8.82,21.787,58.22,27.56,28.14
Moaña,Moaña (Virxe do Carme),96.021,40.179,23.191,19.687,16.987,31.958,41.84,20.5,33.28
