nw_x,nw_y,ha_illadas,ha_nucleos,ha_faixa,NOMECONCEL,PARROQUIA,n_parroquias,bloque
530,4708,0.0,2.4860263996265086,2.4860263996265086,Barro,Portela (San Mamede),2,PNOA-2024-GAL-530-4708-H29-NPC01.LAZ
560,4676,2.4852251376534324,0.0,2.4852251376534324,A Cañiza,Petán (San Xián),1,PNOA-2024-GAL-560-4676-H29-NPC01.LAZ
538,4699,0.0,2.4813229474172447,2.4813229474172447,Cotobade,Borela (San Martiño),1,PNOA-2024-GAL-538-4699-H29-NPC01.LAZ
566,4734,0.9213403730477241,1.5576236442622549,2.4789640173099787,Lalín,Losón (Santa Baia),1,PNOA-2024-GAL-566-4734-H29-NPC01.LAZ
538,4720,0.5010650889198421,1.9661363842390343,2.4672014731588763,Cuntis,Cuntis (Santa María),1,PNOA-2024-GAL-538-4720-H29-NPC01.LAZ
559,4666,0.0,2.4573457862702814,2.4573457862702814,Crecente,Albeos (San Xoán),2,PNOA-2024-GAL-559-4666-H29-NPC01.LAZ
571,4744,0.0,2.431519735775742,2.431519735775742,Agolada,Brocos (San Miguel),2,PNOA-2024-GAL-571-4744-H29-NPC01.LAZ
562,4719,1.2776514486300465,1.1377910070959132,2.4154424557259597,Silleda,Parada (San Tomé),1,PNOA-2024-GAL-562-4719-H29-NPC01.LAZ
552,4675,0.0,2.410714654309265,2.410714654309265,Covelo,Covelo (Santa Mariña),2,PNOA-2024-GAL-552-4675-H29-NPC01.LAZ
528,4674,0.0,2.4078305333037964,2.4078305333037964,Mos,Tameiga (San Martiño),1,PNOA-2024-GAL-528-4674-H29-NPC01.LAZ
583,4745,0.0,2.3889006283052314,2.3889006283052314,Agolada,Ramil (San Martiño),1,PNOA-2024-GAL-583-4745-H29-NPC01.LAZ
549,4674,2.3816996016907535,0.0,2.3816996016907535,Mondariz,Lougares (San Fiz),2,PNOA-2024-GAL-549-4674-H29-NPC01.LAZ
562,4678,0.6825293772917504,1.6945577562804748,2.3770871335722252,A Cañiza,Oroso (Santa María),1,PNOA-2024-GAL-562-4678-H29-NPC01.LAZ
514,4694,1.1265319934029352,1.2464779230608374,2.3730099164637726,Sanxenxo,Adina (Santa María),2,PNOA-2024-GAL-514-4694-H29-NPC01.LAZ
550,4726,1.4065515171659562,0.9660023168536791,2.3725538340196355,A Estrada,Olives (Santa María),2,PNOA-2024-GAL-550-4726-H29-NPC01.LAZ
549,4708,0.0,2.3707362490876567,2.3707362490876567,Cerdedo,Cerdedo (San Xoán),1,PNOA-2024-GAL-549-4708-H29-NPC01.LAZ
536,4695,1.1025069726382775,1.266256379662574,2.3687633523008516,Ponte Caldelas,Xustáns (San Martiño),2,PNOA-2024-GAL-536-4695-H29-NPC01.LAZ
524,4706,0.0,2.3551964678633857,2.3551964678633857,Meis,Nogueira (San Vicente),1,PNOA-2024-GAL-524-4706-H29-NPC01.LAZ
559,4664,0.0,2.35223136918181,2.35223136918181,Arbo,Arbo (Santa María),1,PNOA-2024-GAL-559-4664-H29-NPC01.LAZ
570,4715,0.0,2.3324145969092864,2.3324145969092864,Lalín,Lebozán (Santiago),1,PNOA-2024-GAL-570-4715-H29-NPC01.LAZ
553,4665,0.0,2.331748835864686,2.331748835864686,Arbo,Cabeiras (San Sebastián),1,PNOA-2024-GAL-553-4665-H29-NPC01.LAZ
578,4731,0.059554274183073116,2.2715518790911498,2.3311061532742228,Lalín,Parada (Santa María),1,PNOA-2024-GAL-578-4731-H29-NPC01.LAZ
